Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
2339,2339,PWX EXPORT TO BCH,PW28,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2340,2340,PWX EXPORT TO BCH,PW29,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2341,2341,PWX IMPORT FROM BCH,PW3,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2342,2342,PWX EXPORT UNIT 30,PW30,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2343,2343,PWX EXPORT UNIT 31,PW31,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2344,2344,PWX EXPORT UNIT 32,PW32,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2345,2345,PWX EXPORT UNIT 33,PW33,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2346,2346,PWX EXPORT UNIT 34,PW34,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2347,2347,PWX EXPORT UNIT 35,PW35,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2348,2348,PWX EXPORT UNIT 36,PW36,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2349,2349,PWX EXPORT UNIT 37,PW37,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2350,2350,PWX EXPORT UNIT 38,PW38,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2351,2351,PWX EXPORT UNIT 39,PW39,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2352,2352,PWX IMPORT FROM BCH,PW4,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2353,2353,PWX IMPORT FROM SPC,PW40,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2354,2354,PW41 PWX SPC EXPORT,PW41,SINK,Active,Powerex Corp.,PWX,,,,,
2355,2355,PWX IMPORT FROM BCH,PW5,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2356,2356,PWX IMPORT FROM BCH,PW6,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2357,2357,PWX IMPORT FROM BCH,PW7,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2358,2358,PWX IMPORT FROM BCH,PW8,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2359,2359,PWX IMPORT FROM BCH,PW9,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2360,2360,PWBC BC IMPORT UNIT,PWBC,SOURCE,Active,Powerex Corp.,PWX,,,,,
2362,2362,PWMT PWX MT IMPORT,PWMT,SOURCE,Active,Powerex Corp.,PWX,,,,,
2367,2367,PWRE PWX BC IMPORT,PWRE,SOURCE,Active,Powerex Corp.,PWX,,,,,
2369,2369,PWSK SASK IMPORT UNIT,PWSK,SOURCE,Active,Powerex Corp.,PWX,,,,,
2373,2373,PWXM PWX MT EXPORT,PWXM,SINK,Active,Powerex Corp.,PWX,,,,,
2423,2423,REBC REMC BC IMPORT,REBC,SOURCE,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2424,2424,REMT REMC MT IMPORT,REMT,SOURCE,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2437,2437,RESK REMC SASK IMPORT,RESK,SOURCE,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2439,2439,REXB REMC BC EXPORT,REXB,SINK,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2440,2440,REXM REMC MT EXPORT,REXM,SINK,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2441,2441,REXS SASK EXPORT,REXS,SINK,Active,Rainbow Energy Marketing Corporation,REMC,,,,,
2524,2524,SEBC STC IMPORT FROM BC,SEBC,SOURCE,Retired,Sempra Energy Trading LLC,STC,,,,,
2528,2528,SESK STC IMPORT FROM SASK,SESK,SOURCE,Retired,Sempra Energy Trading LLC,STC,,,,,
2530,2530,SEXB STC EXPORT TO BC,SEXB,SINK,Retired,Sempra Energy Trading LLC,STC,,,,,
2531,2531,SEXS STC EXPORT TO SASK,SEXS,SINK,Retired,Sempra Energy Trading LLC,STC,,,,,
2550,2550,SHBC CECI BC IMPORT,SHBC,SOURCE,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2558,2558,SHMT CECI MT IMPORT,SHMT,SOURCE,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2559,2559,SHSK CECI SASK IMPORT,SHSK,SOURCE,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2560,2560,SHXB CECI BC EXPORT,SHXB,SINK,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2561,2561,SHXM CECI MT EXPORT,SHXM,SINK,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2562,2562,SHXS CECI SASK EXPORT,SHXS,SINK,Active,Shell Energy North America (Canada) Inc.,CECI,,,,,
2586,2586,SMBC SEMI BC IMPORT,SMBC,SOURCE,Active,Suncor Energy Marketing Inc,SEMI,,,,,
2594,2594,SMXB SEMI BC EXPORT,SMXB,SINK,Active,Suncor Energy Marketing Inc,SEMI,,,,,
2599,2599,SPBC BC IMPORT UNIT,SPBC,SOURCE,Active,NorthPoint Energy Solutions,NESI,,,,,
